INDEX,TR_GOOD,NUM_PHRASE_LINES,NUM_PHRASE_WORDS,WPM,DURATION_MS,BEGIN_TIME,BEGIN_TIME_MS,COMP_END_TIME,COMP_END_TIME_MS,END_TIME,END_TIME_MS,TOLERANCE,END_TRUNCATED
53,0,1,5,250,1200,00:02:00.654,120654,00:02:01.854,121854,00:02:01.854,121854,1300,0
54,0,1,7,250,1680,00:02:02.689,122689,00:02:04.369,124369,00:02:04.369,124369,1300,0
55,0,1,7,250,1680,00:02:06.460,126460,00:02:08.140,128140,00:02:08.140,128140,1300,0
56,0,1,3,250,720,00:02:09.029,129029,00:02:09.749,129749,00:02:09.749,129749,1300,0
57,0,1,5,250,1200,00:02:11.031,131031,00:02:12.231,132231,00:02:11.932,131932,1300,1
58,0,1,7,250,1680,00:02:11.932,131932,00:02:13.612,133612,00:02:13.612,133612,1300,0
59,0,1,6,250,1440,00:02:14.535,134535,00:02:15.975,135975,00:02:15.975,135975,1300,0
60,0,1,7,250,1680,00:02:18.805,138805,00:02:20.485,140485,00:02:20.140,140140,1300,1
61,0,1,8,250,1920,00:02:20.140,140140,00:02:22.060,142060,00:02:21.675,141675,1300,1
62,0,1,4,250,960,00:02:21.675,141675,00:02:22.635,142635,00:02:22.635,142635,1300,0
63,0,1,1,250,240,00:02:25.045,145045,00:02:25.285,145285,00:02:25.279,145279,1300,1
64,0,1,7,250,1680,00:02:25.279,145279,00:02:26.959,146959,00:02:26.959,146959,1300,0
65,0,1,3,250,720,00:02:27.047,147047,00:02:27.767,147767,00:02:27.767,147767,1300,0
66,0,1,7,250,1680,00:02:33.820,153820,00:02:35.500,155500,00:02:35.500,155500,1300,0
67,0,1,6,250,1440,00:02:38.091,158091,00:02:39.531,159531,00:02:39.531,159531,1300,0
68,0,1,1,250,240,00:02:40.427,160427,00:02:40.667,160667,00:02:40.667,160667,1300,0
69,0,1,7,250,1680,00:02:40.727,160727,00:02:42.407,162407,00:02:42.329,162329,1300,1
70,0,1,5,250,1200,00:02:42.329,162329,00:02:43.529,163529,00:02:43.529,163529,1300,0
71,0,1,3,250,720,00:02:46.233,166233,00:02:46.953,166953,00:02:46.953,166953,1300,0
72,0,1,7,250,1680,00:02:48.836,168836,00:02:50.516,170516,00:02:50.516,170516,1300,0
73,0,1,2,250,480,00:02:53.841,173841,00:02:54.321,174321,00:02:54.321,174321,1300,0
74,0,1,5,250,1200,00:02:54.641,174641,00:02:55.841,175841,00:02:55.841,175841,1300,0
75,0,1,1,250,240,00:02:56.410,176410,00:02:56.650,176650,00:02:56.650,176650,1300,0
76,0,1,8,250,1920,00:02:56.710,176710,00:02:58.630,178630,00:02:58.345,178345,1300,1
77,0,1,7,250,1680,00:02:58.345,178345,00:03:00.025,180025,00:02:59.913,179913,1300,1
78,0,1,5,250,1200,00:02:59.913,179913,00:03:01.113,181113,00:03:01.113,181113,1300,0
79,0,1,7,250,1680,00:03:02.282,182282,00:03:03.962,183962,00:03:03.962,183962,1300,0
80,0,1,7,250,1680,00:03:04.017,184017,00:03:05.697,185697,00:03:05.697,185697,1300,0
81,0,1,6,250,1440,00:03:06.386,186386,00:03:07.826,187826,00:03:07.826,187826,1300,0
82,0,1,3,250,720,00:03:08.155,188155,00:03:08.875,188875,00:03:08.875,188875,1300,0
83,0,1,8,250,1920,00:03:09.857,189857,00:03:11.777,191777,00:03:11.777,191777,1300,0
84,0,1,4,250,960,00:03:12.960,192960,00:03:13.920,193920,00:03:13.920,193920,1300,0
85,0,1,7,250,1680,00:03:14.561,194561,00:03:16.241,196241,00:03:16.241,196241,1300,0
86,0,1,4,250,960,00:03:16.797,196797,00:03:17.757,197757,00:03:17.757,197757,1300,0
87,0,1,7,250,1680,00:03:19.833,199833,00:03:21.513,201513,00:03:20.934,200934,1300,1
88,0,1,4,250,960,00:03:20.934,200934,00:03:21.894,201894,00:03:21.894,201894,1300,0
89,0,1,5,250,1200,00:03:23.837,203837,00:03:25.037,205037,00:03:25.037,205037,1300,0
90,0,1,6,250,1440,00:03:29.743,209743,00:03:31.183,211183,00:03:31.183,211183,1300,0
91,0,1,2,250,480,00:03:33.447,213447,00:03:33.927,213927,00:03:33.927,213927,1300,0
92,0,1,7,250,1680,00:03:34.348,214348,00:03:36.028,216028,00:03:36.028,216028,1300,0
93,0,1,7,250,1680,00:03:36.450,216450,00:03:38.130,218130,00:03:38.130,218130,1300,0
94,0,1,6,250,1440,00:03:38.986,218986,00:03:40.426,220426,00:03:40.220,220220,1300,1
95,0,1,1,250,240,00:03:40.220,220220,00:03:40.460,220460,00:03:40.460,220460,1300,0
96,0,1,1,250,240,00:03:43.991,223991,00:03:44.231,224231,00:03:44.231,224231,1300,0
97,0,1,6,250,1440,00:03:49.062,229062,00:03:50.502,230502,00:03:50.502,230502,1300,0
98,0,1,1,250,240,00:03:51.965,231965,00:03:52.205,232205,00:03:52.205,232205,1300,0
99,0,1,4,250,960,00:03:52.432,232432,00:03:53.392,233392,00:03:53.392,233392,1300,0
100,0,1,7,250,1680,00:03:54.835,234835,00:03:56.515,236515,00:03:56.470,236470,1300,1
101,0,1,6,250,1440,00:03:56.470,236470,00:03:57.910,237910,00:03:57.910,237910,1300,0
102,0,1,6,250,1440,00:03:58.305,238305,00:03:59.745,239745,00:03:59.745,239745,1300,0
103,0,1,5,250,1200,00:04:02.943,242943,00:04:04.143,244143,00:04:04.143,244143,1300,0
104,0,1,5,250,1200,00:04:05.045,245045,00:04:06.245,246245,00:04:06.245,246245,1300,0
105,0,1,6,250,1440,00:04:08.482,248482,00:04:09.922,249922,00:04:09.922,249922,1300,0
106,0,1,6,250,1440,00:04:10.751,250751,00:04:12.191,252191,00:04:12.085,252085,1300,1
107,0,1,1,250,240,00:04:12.085,252085,00:04:12.325,252325,00:04:12.325,252325,1300,0
